state,date,sex,age,ethnicity,population_thousands,access_overall_pct,access_rural_pct,access_urban_pct,consump_domestic_mld,consump_nondomestic_mld,consump_total_mld,production_mld,population,consump_per_capita_mld,prod_consump_ratio,access_disparity_pct,stress_indicator_consump_prod,consump_per_capita_lpd,z_score_consump_per_capita_lpd
Johor,1970-01-01,both,overall,overall,1325.6,,,,,,,,1325600.0,,,,,,
Johor,1971-01-01,both,overall,overall,1355.4,,,,,,,,1355400.0,,,,,,
Johor,1972-01-01,both,overall,overall,1385.3,,,,,,,,1385300.0,,,,,,
Johor,1973-01-01,both,overall,overall,1414.5,,,,,,,,1414500.0,,,,,,
Johor,1974-01-01,both,overall,overall,1444.4,,,,,,,,1444400.0,,,,,,
Johor,1975-01-01,both,overall,overall,1477.0,,,,,,,,1477000.0,,,,,,
Johor,1976-01-01,both,overall,overall,1508.4,,,,,,,,1508400.0,,,,,,
Johor,1977-01-01,both,overall,overall,1541.9,,,,,,,,1541900.0,,,,,,
Johor,1978-01-01,both,overall,overall,1573.4,,,,,,,,1573400.0,,,,,,
Johor,1979-01-01,both,overall,overall,1606.4,,,,,,,,1606400.0,,,,,,
Johor,1980-01-01,both,overall,overall,1646.2,,,,,,,,1646200.0,,,,,,
Johor,1981-01-01,both,overall,overall,1689.3,,,,,,,,1689300.0,,,,,,
Johor,1982-01-01,both,overall,overall,1734.6,,,,,,,,1734600.0,,,,,,
Johor,1983-01-01,both,overall,overall,1780.2,,,,,,,,1780200.0,,,,,,
Johor,1984-01-01,both,overall,overall,1825.8,,,,,,,,1825800.0,,,,,,
Johor,1985-01-01,both,overall,overall,1875.5,,,,,,,,1875500.0,,,,,,
Johor,1986-01-01,both,overall,overall,1926.5,,,,,,,,1926500.0,,,,,,
Johor,1987-01-01,both,overall,overall,1977.9,,,,,,,,1977900.0,,,,,,
Johor,1988-01-01,both,overall,overall,2031.0,,,,,,,,2031000.0,,,,,,
Johor,1989-01-01,both,overall,overall,2085.5,,,,,,,,2085500.0,,,,,,
Johor,1990-01-01,both,overall,overall,2139.6,,,,,,,,2139600.0,,,,,,
Johor,1991-01-01,both,overall,overall,2188.1,,,,,,,,2188100.0,,,,,,
Johor,1992-01-01,both,overall,overall,2249.1,,,,,,,,2249100.0,,,,,,
Johor,1993-01-01,both,overall,overall,2313.4,,,,,,,,2313400.0,,,,,,
Johor,1994-01-01,both,overall,overall,2378.1,,,,,,,,2378100.0,,,,,,
Johor,1995-01-01,both,overall,overall,2441.4,,,,,,,,2441400.0,,,,,,
Johor,1996-01-01,both,overall,overall,2503.9,,,,,,,,2503900.0,,,,,,
Johor,1997-01-01,both,overall,overall,2567.5,,,,,,,,2567500.0,,,,,,
Johor,1998-01-01,both,overall,overall,2631.7,,,,,,,,2631700.0,,,,,,
Johor,1999-01-01,both,overall,overall,2699.4,,,,,,,,2699400.0,,,,,,
Johor,2000-01-01,both,overall,overall,2762.5,99.0,98.0,100.0,,,,1158.0,2762500.0,,,2.0,,,
Johor,2001-01-01,both,overall,overall,2829.9,99.7,99.0,100.0,,,,1201.0,2829900.0,,,1.0,,,
Johor,2002-01-01,both,overall,overall,2893.6,99.6,99.0,100.0,,,,1260.0,2893600.0,,,1.0,,,
Johor,2003-01-01,both,overall,overall,2954.0,99.7,99.0,100.0,560.0,246.0,806.0,1118.0,2954000.0,0.0002728503723764387,1.3870967741935485,1.0,0.7209302325581395,272.8503723764387,-0.611243246821398
Johor,2004-01-01,both,overall,overall,3014.6,99.4,98.0,100.0,610.0,225.0,835.0,1003.0,3014600.0,0.0002769853380216281,1.2011976047904191,2.0,0.8325024925224327,276.9853380216281,-0.5738685575002784
Johor,2005-01-01,both,overall,overall,3074.4,99.5,99.0,100.0,621.0,235.0,856.0,1003.0,3074400.0,0.00027842831121519646,1.1717289719626167,1.0,0.8534396809571286,278.42831121519646,-0.5608259642997606
Johor,2006-01-01,both,overall,overall,3134.4,99.5,99.0,100.0,644.0,255.0,899.0,1363.0,3134400.0,0.0002868172537008678,1.5161290322580645,1.0,0.6595744680851063,286.8172537008678,-0.4850008798762725
Johor,2007-01-01,both,overall,overall,3193.5,99.8,99.5,100.0,664.0,289.0,953.0,1387.0,3193500.0,0.000298418662909034,1.4554039874081848,0.5,0.6870944484498919,298.41866290903397,-0.3801392916435296
